day,hour,U,V,WS
150,1630,3.315,1.601,3.681361976
150,1700,3.191,1.5,3.525972348
150,1730,2.613,1.492,3.00895879
150,1800,2.443,1.31,2.772065836
150,1830,2.527,1.277,2.831335021
150,1900,1.903,1.094,2.195050113
150,1930,1.538,0.965,1.815673153
150,2000,1.49,0.814,1.697850406
150,2030,1.532,0.776,1.717323499
150,2100,1.428,0.688,1.585095581
150,2130,1.665,0.919,1.901784951
150,2200,1.534,0.746,1.70577607
150,2230,1.625,0.743,1.786805529
150,2300,1.676,0.86,1.88376644
150,2330,2.047,1.057,2.303792091
151,0,2.169,0.952,2.368726451
151,30,1.86,0.889,2.061533652
151,100,1.838,0.889,2.041706394
151,130,1.676,0.809,1.861036539
151,200,1.833,0.929,2.054976886
151,230,1.558,0.736,1.723096051
151,300,1.371,0.676,1.528599686
151,330,1.172,0.529,1.285855746
151,400,0.708,0.34,0.785406901
151,430,0.912,0.376,0.986468449
151,500,0.843,0.345,0.910864425
151,530,1.189,0.482,1.282982853
151,600,1.361,0.496,1.448563771
151,630,1.494,0.493,1.573240287
151,700,1.411,0.436,1.476826666
151,730,0.773,0.276,0.820795346
151,800,0.61,0.558,0.826718816
151,830,0.969,1.109,1.472698883
151,900,1.251,1.306,1.808490254
151,930,1.42,1.312,1.933324598
151,1000,1.932,1.612,2.516181234
151,1030,1.957,1.555,2.499574764
151,1100,1.964,1.632,2.55357005
151,1130,1.791,1.57,2.381718077
151,1200,1.509,1.191,1.922384457
151,1230,1.549,1.375,2.071237794
151,1300,1.667,1.428,2.195010934
151,1330,1.593,1.579,2.242964556
151,1400,1.918,1.798,2.628978509
151,1430,1.884,1.642,2.499123846
151,1500,1.863,1.764,2.565631501
151,1530,1.723,1.639,2.378034903
151,1600,2.153,1.668,2.723533183
151,1630,1.721,1.489,2.275733288
151,1700,1.609,1.235,2.028325911
151,1730,1.422,1.223,1.875583376
151,1800,1.123,0.97,1.483923516
151,1830,1.132,0.823,1.399554572
151,1900,1.225,0.888,1.513
151,1930,1.136,0.917,1.459926368
151,2000,1.266,0.865,1.533290905
151,2030,1.568,1.005,1.862430938
151,2100,1.617,1.061,1.934013961
151,2130,1.66,1.04,1.958877229
151,2200,0.967,0.851,1.28813431
151,2230,1.047,0.837,1.34043948
151,2300,1.068,0.843,1.360614935
151,2330,0.848,0.774,1.148120203
152,0,1.248,0.981,1.587408265
152,30,0.834,0.714,1.09788524
152,100,1.008,0,1.008
152,130,0.852,0.541,1.009249721
152,200,0.461,0.525,0.698674459
152,230,0.658,0.928,1.137606259
152,1400,0.429,2.73,2.763501583
152,1430,0.262,2.781,2.79331434
152,1500,0.638,3.189,3.252193875
152,1530,0.391,3.171,3.19501518
152,1600,0.61,3.275,3.331324812
152,1630,1.16,3.403,3.595275928
152,1700,1.484,3.121,3.455849678
152,1730,1.463,3.372,3.675697621
152,1800,1.258,2.7,2.978684945
152,1830,1.274,3.025,3.282331641
152,1900,1.365,2.983,3.280474661
152,1930,1.526,2.825,3.210810022
152,2000,1.598,2.799,3.223042817
152,2030,1.521,2.659,3.063286144
152,2100,1.764,2.397,2.976122477
152,2130,1.655,1.974,2.575985443
152,2200,1.236,1.574,2.001292582
152,2230,0.269,1.203,1.2327084
153,0,-0.25,1.854,1.870779517
153,200,1.505,3.267,3.596986795
153,230,1.69,3.583,3.961563959
153,300,2.038,3.562,4.103813836
153,330,1.727,3.282,3.70864571
153,400,1.452,3.137,3.45674312
153,430,1.469,3.185,3.50744722
153,500,1.524,3.177,3.523621007
153,530,1.306,3.384,3.627270599
153,600,1.171,3.625,3.809444316
153,630,1.342,3.508,3.755932374
153,700,1.404,3.664,3.923787966
153,730,1.503,3.494,3.803556888
153,800,1.418,3.143,3.44806801
153,830,1.658,3.396,3.779124237
153,900,1.561,3.016,3.396023704
153,930,1.251,3.221,3.455407646
153,1000,1.257,3.41,3.634301721
153,1030,1.614,3.511,3.864209751
153,1100,1.203,3.347,3.556630147
153,1130,1.229,3.448,3.660484258
153,1200,1.715,3.551,3.943453563
153,1230,1.423,4.027,4.271025404
