r,theta,observations,leaves,release_no,year,release_in_year
0,0,30,290,1,1995,0
0,0,20,214,1,1995,0
0,0,29,94,1,1995,0
0,0,11,160,1,1995,0
0,0,23,173,1,1995,0
0,0,11,88,1,1995,0
0,0,11,127,1,1995,0
0,0,6,160,1,1995,0
0,0,9,126,1,1995,0
0,0,6,202,1,1995,0
0,0,10,84,1,1995,0
0,0,6,101,1,1995,0
0,0,6,105,1,1995,0
0,0,6,88,1,1995,0
0,0,2,115,1,1995,0
0,0,12,160,1,1995,0
0,0,9,124,1,1995,0
0,0,10,149,1,1995,0
0,0,8,126,1,1995,0
0,0,10,150,1,1995,0
0,0,16,166,2,1995,1
0,0,20,106,2,1995,1
0,0,11,116,2,1995,1
0,0,23,117,2,1995,1
0,0,16,104,2,1995,1
0,0,19,92,2,1995,1
0,0,54,89,2,1995,1
0,0,13,85,2,1995,1
0,0,26,156,2,1995,1
0,0,11,109,2,1995,1
0,0,20,71,2,1995,1
0,0,10,85,2,1995,1
0,0,11,89,2,1995,1
0,0,8,42,2,1995,1
0,0,7,43,2,1995,1
0,0,12,82,2,1995,1
0,0,11,73,2,1995,1
0,0,10,101,2,1995,1
0,0,8,78,2,1995,1
0,0,14,99,2,1995,1
0,0,20,125,1,1995,0
5,0,7,187,1,1995,0
10,0,10,116,1,1995,0
15,0,2,187,1,1995,0
20,0,0,1,1,1995,0
25,0,0,1,1,1995,0
0,0,10,103,1,1995,0
5,0,17,83,1,1995,0
10,0,14,169,1,1995,0
15,0,10,93,1,1995,0
20,0,10,96,1,1995,0
25,0,0,1,1,1995,0
30,0,0,1,1,1995,0
0,0,6,65,1,1995,0
5,0,7,88,1,1995,0
10,0,8,62,1,1995,0
15,0,6,67,1,1995,0
20,0,6,79,1,1995,0
25,0,0,1,1,1995,0
30,0,1,73,1,1995,0
35,0,0,1,1,1995,0
40,0,0,1,1,1995,0
0,0,9,120,1,1995,0
5,0,18,141,1,1995,0
10,0,6,97,1,1995,0
15,0,5,93,1,1995,0
20,0,0,1,1,1995,0
25,0,0,1,1,1995,0
0,0,17,98,2,1995,1
5,0,19,108,2,1995,1
10,0,43,102,2,1995,1
15,0,34,127,2,1995,1
20,0,27,240,2,1995,1
25,0,10,96,2,1995,1
30,0,7,151,2,1995,1
35,0,0,1,2,1995,1
40,0,0,1,2,1995,1
0,0,28,110,2,1995,1
5,0,32,107,2,1995,1
10,0,43,107,2,1995,1
15,0,22,92,2,1995,1
20,0,13,100,2,1995,1
25,0,0,1,2,1995,1
30,0,1,127,2,1995,1
35,0,0,1,2,1995,1
40,0,0,1,2,1995,1
0,0,12,57,2,1995,1
5,0,16,67,2,1995,1
10,0,11,74,2,1995,1
15,0,12,83,2,1995,1
20,0,1,123,2,1995,1
25,0,0,1,2,1995,1
30,0,0,1,2,1995,1
0,0,7,46,2,1995,1
5,0,30,129,2,1995,1
10,0,6,63,2,1995,1
15,0,3,69,2,1995,1
20,0,2,39,2,1995,1
25,0,0,1,2,1995,1
30,0,0,1,2,1995,1
0,5.49778714378214,13,149,1,1995,0
5,5.49778714378214,1,236,1,1995,0
10,5.49778714378214,3,180,1,1995,0
15,5.49778714378214,6,141,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,4,156,1,1995,0
5,5.49778714378214,5,138,1,1995,0
10,5.49778714378214,0,1,1,1995,0
15,5.49778714378214,6,105,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,5,73,1,1995,0
5,5.49778714378214,2,102,1,1995,0
10,5.49778714378214,3,74,1,1995,0
15,5.49778714378214,2,94,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,12,168,1,1995,0
5,5.49778714378214,4,107,1,1995,0
10,5.49778714378214,1,129,1,1995,0
15,5.49778714378214,3,137,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,42,255,2,1995,1
5,5.49778714378214,17,142,2,1995,1
10,5.49778714378214,7,163,2,1995,1
15,5.49778714378214,4,127,2,1995,1
20,5.49778714378214,10,172,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,5,130,2,1995,1
5,5.49778714378214,3,180,2,1995,1
10,5.49778714378214,0,1,2,1995,1
15,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,11,73,2,1995,1
5,5.49778714378214,12,106,2,1995,1
10,5.49778714378214,5,88,2,1995,1
15,5.49778714378214,3,84,2,1995,1
20,5.49778714378214,1,91,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,12,165,2,1995,1
5,5.49778714378214,5,94,2,1995,1
10,5.49778714378214,9,107,2,1995,1
15,5.49778714378214,5,162,2,1995,1
20,5.49778714378214,1,86,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,4.71238898038469,17,409,1,1995,0
5,4.71238898038469,6,173,1,1995,0
10,4.71238898038469,3,154,1,1995,0
15,4.71238898038469,1,194,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,5,147,1,1995,0
5,4.71238898038469,1,126,1,1995,0
10,4.71238898038469,1,198,1,1995,0
15,4.71238898038469,3,66,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,8,106,1,1995,0
5,4.71238898038469,2,93,1,1995,0
10,4.71238898038469,1,73,1,1995,0
15,4.71238898038469,0,1,1,1995,0
20,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,12,136,1,1995,0
5,4.71238898038469,6,127,1,1995,0
10,4.71238898038469,3,112,1,1995,0
15,4.71238898038469,2,103,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,19,143,2,1995,1
5,4.71238898038469,7,108,2,1995,1
10,4.71238898038469,2,107,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,11,183,2,1995,1
5,4.71238898038469,3,155,2,1995,1
10,4.71238898038469,1,111,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,6,82,2,1995,1
5,4.71238898038469,2,78,2,1995,1
10,4.71238898038469,0,1,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,3,74,2,1995,1
5,4.71238898038469,1,1,2,1995,1
10,4.71238898038469,1,107,2,1995,1
15,4.71238898038469,1,110,2,1995,1
20,4.71238898038469,3,203,2,1995,1
25,4.71238898038469,0,1,2,1995,1
25,4.71238898038469,0,1,2,1995,1
0,3.92699081698724,19,157,1,1995,0
5,3.92699081698724,6,143,1,1995,0
10,3.92699081698724,4,145,1,1995,0
15,3.92699081698724,3,188,1,1995,0
20,3.92699081698724,0,1,1,1995,0
25,3.92699081698724,0,1,1,1995,0
0,3.92699081698724,4,109,1,1995,0
