site,tree_spp,dir,r,larvae,leaves,x,y
R5,BO,Cent,0,9,112,0,0
R5,BO,N,5,10,137,0,5
R5,BO,N,10,9,125,0,10
R5,BO,N,15,1,102,0,15
R5,BO,N,20,3,149,0,20
R5,BO,N,25,1,152,0,25
R5,BO,NW,5,17,131,-3.5,3.5
R5,BO,NW,10,4,97,-7.07,7.07
R5,BO,NW,15,1,109,-10.6,10.6
R5,BO,NE,5,11,113,3.53553390593274,3.53553390593274
R5,BO,NE,10,8,70,7.07106781186548,7.07106781186548
R5,BO,NE,15,17,84,10.6066017177982,10.6066017177982
R5,BO,NE,20,14,155,14.142135623731,14.142135623731
R5,BO,NE,25,9,122,17.6776695296637,17.6776695296637
R5,BO,NE,30,5,149,21.2132034355964,21.2132034355964
R5,BO,NE,35,7,110,24.7487373415292,24.7487373415292
R5,BO,NE,40,2,94,28.2842712474619,28.2842712474619
R5,BO,NE,45,1,144,31.8198051533946,31.8198051533946
R5,BO,W,5,5,116,-5,0
R5,BO,W,10,6,120,-10,0
R5,BO,W,15,1,193,-15,0
R5,BO,W,20,4,161,-20,0
R5,BO,NNE,10,12,99,3.83,9.24
R5,BO,NNE,15,20,100,5.74,13.9
R5,BO,NNE,20,15,107,7.65,18.5
R5,BO,NNE,25,6,133,9.6,23.1
R5,BO,NNE,30,1,157,11.5,27.72
R5,BO,S,5,3,108,0,-5
R5,BO,S,10,7,117,0,-10
R5,BO,S,15,14,111,0,-15
R5,BO,S,20,4,113,0,-20
R5,BO,S,25,9,120,0,-25
R5,BO,S,30,7,159,0,-30
R5,BO,S,35,3,126,0,-35
R5,BO,S,40,3,120,0,-40
R5,BO,S,45,1,118,0,-45
R5,BO,SSW,10,14,147,-1.9,-4.6
R5,BO,SSW,15,2,149,-3.8,-9.2
R5,BO,SSW,20,8,176,-5.7,-13.8
R5,BO,SSW,25,2,162,-7.6,-18.4
R5,BO,SSW,30,2,155,-9.5,-23
R5,BO,SSW,35,8,115,-11.4,-27.6
R5,BO,SW,5,9,125,-3.53553390593274,-3.53553390593274
R5,BO,SW,10,9,111,-7.07106781186548,-7.07106781186548
R5,BO,SW,15,1,133,-10.6066017177982,-10.6066017177982
R5,BO,SW,20,9,126,-14.142135623731,-14.142135623731
R5,BO,SW,25,5,151,-17.6776695296637,-17.6776695296637
R5,BO,SW,30,5,129,-21.2132034355964,-21.2132034355964
R5,BO,SW,35,9,162,-24.7487373415292,-24.7487373415292
R5,BO,SW,40,2,149,-28.2842712474619,-28.2842712474619
R5,BO,SE,5,9,157,3.53553390593274,-3.53553390593274
R5,BO,SE,10,9,108,7.07106781186548,-7.07106781186548
R5,BO,SE,15,9,146,10.6066017177982,-10.6066017177982
R5,BO,E,5,7,141,5,0
R5,BO,E,10,9,81,10,0
R5,BO,E,15,6,81,15,0
R5,BO,E,20,7,147,20,0
R5,BO,E,25,6,172,25,0
R5,BO,ENE,10,18,155,9.24,3.83
R5,BO,ENE,15,17,129,13.9,5.74
R5,WO,N,5,12,132,0,5
R5,WO,N,15,6,174,0,15
R5,WO,N,20,4,137,0,20
R5,WO,NE,15,2,163,10.6066017177982,10.6066017177982
R5,WO,NE,20,21,119,14.142135623731,14.142135623731
R5,WO,NE,25,20,117,17.6776695296637,17.6776695296637
R5,WO,NE,35,9,114,24.7487373415292,24.7487373415292
R5,WO,W,10,31,100,-10,0
R5,WO,NNE,25,15,130,9.6,23.1
R5,WO,S,15,26,152,0,-15
R5,WO,S,45,2,200,0,-45
R5,WO,SSW,20,44,164,-5.7,-13.8
R5,WO,SSW,25,11,228,-7.6,-18.4
R5,WO,SSW,30,26,217,-9.5,-23
R5,WO,SE,10,20,255,7.07106781186548,-7.07106781186548
R5,WO,E,5,20,164,5,0
R5,WO,ENE,10,21,94,9.24,3.83
R4,BO,Center,0,8,186,0,0
R4,BO,N,5,3,92,0,5
R4,BO,N,10,6,85,0,10
R4,BO,N,20,3,131,0,20
R4,BO,N,25,3,140,0,25
R4,BO,NE,5,9,96,3.53553390593274,3.53553390593274
R4,BO,NE,10,10,82,7.07106781186548,7.07106781186548
R4,BO,NE,15,13,101,10.6066017177982,10.6066017177982
R4,BO,NE,20,3,131,14.142135623731,14.142135623731
R4,BO,NE,25,4,90,17.6776695296637,17.6776695296637
R4,BO,NE,30,6,71,21.2132034355964,21.2132034355964
R4,BO,NE,35,3,108,24.7487373415292,24.7487373415292
R4,BO,NE,40,4,127,28.2842712474619,28.2842712474619
R4,BO,NE,45,1,103,31.8198051533946,31.8198051533946
R4,BO,W,10,1,107,-10,0
R4,BO,NNE,10,21,91,3.83,9.24
R4,BO,NNE,15,11,90,5.74,13.9
R4,BO,NNE,20,1,125,7.65,18.5
R4,BO,NNE,25,4,81,9.6,23.1
R4,BO,NNE,30,6,112,11.5,27.72
R4,BO,NNE,35,2,107,13.4,32.32
R4,BO,S,5,2,119,0,-5
R4,BO,S,10,1,86,0,-10
R4,BO,S,15,14,95,0,-15
R4,BO,SW,5,3,103,-3.53553390593274,-3.53553390593274
R4,BO,SW,10,3,98,-7.07106781186548,-7.07106781186548
R4,BO,SW,15,3,104,-10.6066017177982,-10.6066017177982
R4,BO,SW,20,1,92,-14.142135623731,-14.142135623731
R4,BO,SW,30,1,102,-21.2132034355964,-21.2132034355964
R4,BO,SE,5,3,164,3.53553390593274,-3.53553390593274
R4,BO,SE,10,2,95,7.07106781186548,-7.07106781186548
R4,BO,SE,15,6,138,10.6066017177982,-10.6066017177982
R4,BO,E,5,3,159,5,0
R4,BO,E,10,9,145,10,0
R4,BO,E,15,4,131,15,0
R4,BO,E,20,4,153,20,0
R4,BO,ENE,10,7,146,9.24,3.83
R4,BO,ENE,20,5,115,18.5,7.65
